LT-1520-01,Dell Notebook Computer,Vostro 1520,52Q74L1,6872,1000
LTPT-E6430-01,Dell Notebook Computer,Latitude E6430,n/a,n/a,1500
LTPT-E6430-02,Dell Notebook Computer,Latitude E6430,H3D7LV1,11069,1500
LTPT-E6430-03,Dell Notebook Computer,Latitude E6430,8TC7LV1,11064,1500
LTPT-E6430-04,Dell Notebook Computer,Latitude E6430,74D7LV1,11065,1500
LTPT-E6430-05,Dell Notebook Computer,Latitude E6430,7TC7LV1,11062,1500
LT-E6520-10,Dell Notebook Computer,Latitude E6520,n/a,n/a,1500
LT-E6430-11,Dell Notebook Computer,Latitude E6520,n/a,n/a,1500
LT-E6430-12,Dell Notebook Computer,Latitude E6430,n/a,n/a,1500
LT-E6430-13,Dell Notebook Computer,Latitude E6430,GTC7LV1,11067,1500
LT-E6430-14,Dell Notebook Computer,Latitude E6430,GTC7LV1,11067,1500
LT-E6430-15,Dell Notebook Computer,Latitude E6430,3SC7LV1,11066,1500
LT-E6430-16,Dell Notebook Computer,Latitude E6430,7MD7LV1,11068,1500
LT-E6430-17,Dell Notebook Computer,Latitude E6430,J2D7LV1,11070,1500
LT-E6520-18,Dell Notebook Computer,Latitude E6520,958W1Q1,10048,1500
LT-E6520-19,Dell Notebook Computer,Latitude E6520,CS7W1Q1,8731,1500
LT-E6520-20,Dell Notebook Computer,Latitude E6520,HQ4W1Q1,10040,1500
LT-E6520-21,Dell Notebook Computer,Latitude E6520,836W1Q1,10041,1500
LT-E6520-22,Dell Notebook Computer,Latitude E6520,J48W1Q1,8733,1500
LT-E6520-23,Dell Notebook Computer,Latitude E6520,4D7W1Q1,10047,1500
LT-E6520-24,Dell Notebook Computer,Latitude E6520,F38W1Q1,10039,1500
LT-E6520-25,Dell Notebook Computer,Latitude E6520,JN7W1Q1,10046,1500
LT-E6520-26,Dell Notebook Computer,Latitude E6520,n/a,n/a,1500
LT-E6520-27,Dell Notebook Computer,Latitude E6520,5C8W1Q1,10042,1500
LT-E6520-24,Dell Notebook Computer,Latitude E6520,F38W1Q1,10039,1500
LT-E6520-25,Dell Notebook Computer,Latitude E6520,JN7W1Q1,10046,1500
LT-E6520-26,Dell Notebook Computer,Latitude E6520,n/a,n/a,1500
LT-E6520-27,Dell Notebook Computer,Latitude E6520,5C8W1Q1,10042,1500
Phone Chkout # (916)698-6507,Apple iPhone 5 16GB,iPhone 5,F17L75SGF8H2,IMEI:990002809872052,600
Phone Chkout # (916)698-6487,Apple iPhone 5 16GB,iPhone 5,F17L7353F8H2,IMEI:990002787712320,600
Phone Chkout # (916)698-7493,Apple iPhone 5 16GB,iPhone 5,F17L75V9F8H2,IMEI:990002809939745,600
Phone Chkout # (916)698-7618,Apple iPhone 5 16GB,iPhone 5,F17L73QZF8H2,IMEI:990002809570607,600
Phone Chkout # (916)698-8317,Apple iPhone 5 16GB,iPhone 5,F17L75DGF8H2,IMEI:990002809596586,600
Phone Chkout # (916)698-9186,Apple iPhone 5 16GB,iPhone 5,n/a,IMEI:990002809744731,600
MACBOOK Chkout-05,"Apple Macbook Pro 15"" Core i7",Macbook Pro Core i7,C02K6C3TFFt0,N/A,2000
MACBOOK Chkout-06,"Apple Macbook Pro 15"" Core i7",Macbook Pro Core i7,C02JX2KDJKQ1,N/A,2000
Macbook Checkout 01,Apple Macbook,n/a,n/a,n/a,1000
Macbook Checkout 02,Apple Macbook,n/a,n/a,n/a,1000
CCE Hotspot 18,Verizon MiFi,n/a,n/a,n/a,n/a
Surge Protector,n/a,n/a,n/a,n/a,50
VGA to Mini Display Port,n/a,n/a,n/a,n/a,50
